"T1_1H_R1";"T1_2H_R1";"T1_3H_R1";"T1_4H_R1";"T1_5H_R1";"T1_6H_R1";"T2_1H_R1";"T2_2H_R1";"T2_3H_R1";"T2_4H_R1";"T2_5H_R1";"T2_6H_R1";"T3_1H_R1";"T3_2H_R1";"T3_3H_R1";"T3_4H_R1";"T3_5H_R1";"T3_6H_R1";"T1_1H_R2";"T1_2H_R2";"T1_3H_R2";"T1_4H_R2";"T1_5H_R2";"T1_6H_R2";"T2_1H_R2";"T2_2H_R2";"T2_3H_R2";"T2_4H_R2";"T2_5H_R2";"T2_6H_R2";"T3_1H_R2";"T3_2H_R2";"T3_3H_R2";"T3_4H_R2";"T3_5H_R2";"T3_6H_R2";"ExpT1";"ExpT2";"ExpT3"
"G76";-0.0621010744277708;-0.0984123137221014;-0.399132151317812;-1.30892634753754;-0.889492101085918;0.389913219895543;0.0287318930593861;-1.41631907188326;-4.81477340439431;-3.63888630504453;-4.1624731778229;-3.68184217209983;-0.0234140477659075;-1.53365102596093;-2.36569567990533;-4.41262077272854;-4.93946493591937;-2.04044092596644;-0.387495909789525;0.244303291637256;-0.17661091627764;0.327847494513776;0.335718979912788;0.944933734726315;-0.447019231199601;-1.05709980449434;-2.38807981301635;-4.82114061308719;-4.68599453279804;-3.85012694111018;-1.35200218428725;-1.05991788646079;-2.35118694106591;-4.82226558718469;-5.23739446143745;-4.93072370194282;"Non";"Sous";"Sous"
"G77";-0.838755479188209;0.301555400810015;-0.48116318660171;-0.408260523183449;0.751241781487631;0.314899469167061;-0.469995693715808;1.98507179513307;4.60761274592755;5.71366147734737;5.69583332038928;4.80882983111203;-0.281192138360244;2.31926711562007;3.84851673982782;4.20103578373626;4.92070872768383;4.42679745042341;-0.307839539901625;0.14345587671731;0.0956694696826784;-0.602285360567927;0.0793174884361101;0.818155863577306;-0.0677661465005857;2.94516596456822;3.41749867180389;5.43008319635826;5.55359880996153;4.95598330925171;-0.104266687854213;3.13702979184291;3.02803923668877;5.24896561568781;5.54283781960851;4.70197515886202;"Non";"Sur";"Sur"
"G86";-0.210193115624365;-0.647665556219983;0.244597488462786;0.399108638023711;0.33726886968245;0.479756263270452;-0.502564128146563;-2.90556796056498;-6.0062596376022;-4.43114372277034;-5.22919175732885;-5.51378123089152;-0.361537294852641;-2.84641676666856;-2.95857822738719;-5.47808708663757;-4.54182187385117;-4.23494337949296;-0.0203929108443539;0.191850688917445;-0.322844705217153;0.483466102961608;0.428914999755252;0.538403059344177;-0.423033585234498;-3.24874658210618;-2.82474076364095;-4.25610549550653;-5.40813427516156;-6.02365386495712;-0.00439331711110835;-2.87863770335964;-4.0186260775807;-4.61475682011739;-5.45647562385485;-6.8093838975728;"Non";"Sous";"Sous"
"G89";-0.610882026026481;0.884272641531089;-0.777845451753417;-1.41693052450334;-2.12112532553774;-2.15959883251782;-0.871871637097201;-1.10673777190478;-2.87630124704817;-3.83550035201496;-4.19971242247675;-3.0784105648682;-1.00592242524637;1.74085783170926;2.66917351109322;1.41534732160968;0.381447658292509;-2.86350686065635;-1.81287894379797;0.62474706622145;0.688091063822063;-0.212895504449305;-0.0610384906739663;-0.804223163484401;-0.495240254373943;0.913554795742498;-0.448043437777399;-1.99878205196713;-1.39362951307422;-3.56475907845378;-2.69805512844027;2.58656106639555;2.88865719076151;0.523507267652997;-0.306806470127721;-3.29712880191166;"Sous";"Sous";"Sous"
"G90";0.163368618603979;0.0342012281328254;-0.0405936339054995;0.0192112567345046;-0.553658009069904;-0.27839671644864;0.34434154919253;-0.181768251400335;0.0607951218195961;0.353220260930758;1.38508512411262;2.71769672748748;0.0244896439384092;-0.0275915301646399;0.174603182288408;0.271230932549168;1.09441226604796;2.43499400608376;0.163554737586838;-0.58357345332547;0.0476740999410949;-0.257310535551628;-1.03705528274291;-0.826689238428659;0.0609922724247567;-0.194059684055607;0.015582712218478;0.457724522389796;1.41476924266089;2.5599649386077;0.0138386361855263;-0.374683112923087;0.140902806587165;0.781892523197604;1.62974547591783;2.19089367020692;"Non";"Sur";"Sur"
"G94";-0.381024461339841;0.145513132707835;-0.542196571840654;-0.104049887599173;0.170335690868721;-0.595785508685945;-0.599593674213568;-1.80399376712932;-3.06337904281398;-2.59584784208537;-1.96611488269054;-2.46149968334842;-1.08130717273701;-2.67917579955557;-2.10754312872659;-2.15277460186211;-2.33003588423286;-2.76280378003153;-0.258791775696968;-0.73503132701749;-0.149287581139292;-0.66139133497588;-0.461904711215372;-0.894618777501655;-0.596423432716866;-2.65164787302973;-2.42372557273342;-2.60658720564208;-2.42136221229774;-2.9334380700936;-0.914281782872593;-3.32113699463308;-2.72802971167573;-2.70380181393401;-2.70385621235533;-3.22996540420498;"Non";"Sous";"Sous"
"G99";-1.03120776488976;0.234809188050191;-0.282086134610415;0.227409819071992;0.992436414184393;0.663275007345234;-1.33479489711531;-1.03255462874961;-1.61657129127083;-2.49213849884648;-1.10438919541895;-2.2719856860994;-1.24478493681937;-0.946569363466303;-1.65428161905179;-2.24938745583252;-0.984782161364353;-1.16435211935064;0.130207319101424;0.27675643721376;0.170883359474894;0.283746660534301;-0.0395536824140899;1.77124210448335;-0.974147748174841;-1.50654114469672;-1.21450456460577;-2.98144724745361;-2.98244732426332;-1.809816183349;0.338901022584648;-1.24669784043648;-1.61462772335684;-2.15930056602919;-2.77838902291652;-2.2719856860994;"Sur";"Sous";"Sous"
"G101";-0.422316320955297;0.13264568714495;-0.226194977345634;-1.54125001005422;-1.66331291653071;-1.61288997276882;-0.938061989826064;-0.640111710103894;-1.1887435730411;-1.71992172886013;-2.49516202691846;-2.191506692794;-0.814313544300876;-0.177753736352278;-0.885292023982238;-1.72676048476133;-2.26148418416046;-1.85355581769819;-1.2512094806822;0.266353021438392;0.564149835947418;-0.195789151992493;-0.786823661531882;-0.863392716290783;-0.473803786953054;0.652449276853747;0.0900852730754607;-2.33999339228398;-1.94917609636664;-2.41678732662417;-1.59457816439326;0.293927957922684;-0.800334894965224;-0.435304698196594;-2.16879233917858;-2.58375361846864;"Sous";"Sous";"Sous"
"G105";-0.394797264595378;-0.650404085618556;0.334539141941954;0.420075513785271;-0.650140434117915;-0.254027015884175;0.0296650333844974;0.413535741472205;0.934620810272355;1.91350308408836;1.3219551925771;1.93348827639055;0.014900975762226;1.22097537628537;1.64125621834285;2.00020452457708;2.1678823273848;2.74363507968621;0.340399448902373;-0.57155546251434;-0.301026910196178;-0.73770992465329;-1.0282031137871;-1.10714090240547;0.653841595689764;1.39666012717402;1.63939042789571;1.99745844440128;2.41174924557915;2.37399577794609;-0.0352086658104804;1.29530571570051;1.76981390602725;2.06685273229409;2.15371606091563;2.78773805156607;"Non";"Sur";"Sur"
"G110";-0.197595859612257;0.365847421322528;-0.012411851110282;0.251925348972129;-0.556885692918121;-0.405665314722754;0.505816264435444;2.01157877465516;2.93874807862672;2.90830562185115;2.90743105578951;3.4662072335344;0.545274248991611;2.21342619873885;2.72546457014557;2.92558070103222;3.01319725156925;3.12406281686888;0.0026523184444569;-0.0595640784536489;0.430329611554727;-0.415983405845914;-0.836342241254028;-1.14396497259659;0.619015798882478;2.25642368371904;2.65804425071075;2.79230883706478;3.05593524160737;3.18150238253238;0.643321566756708;2.31562770684061;2.89637580441383;2.90356047502587;2.98820938689413;3.18728171465328;"Non";"Sur";"Sur"
"G111";-0.430887727200687;0.0297062704499349;-0.0513341828944758;-0.166887602506807;-0.402043785921914;-0.496359243171169;0.220235638669948;0.640713988503191;1.6188825745169;1.99850835511449;1.48867058641677;1.78930637685561;-0.101273394478599;1.13145433707642;1.57469468748798;1.73503052614816;2.04952104842609;2.11521702446605;-0.00569360621505277;-0.147986151594222;0.156484732715146;-0.371125663542971;-0.745441574002921;-0.855580090082425;0.244120770151663;1.41726919302577;1.51964535007219;1.69555806617944;2.13835059368376;2.0246647973604;-0.138512456179247;1.26735239346444;1.51914249164719;1.76482650517029;1.9777789860925;2.01348381513131;"Non";"Sur";"Sur"
"G116";0.020215541298815;0.230881593691308;0.110115522014389;0.35965638868232;-0.21809824477734;-0.445066395014485;1.07547735625828;2.98767874683238;3.48810903797549;3.09119876537183;2.94193437640678;3.05660187481721;1.17120703226335;3.11617235380798;3.33345474987608;3.10460516455953;2.97809218059765;2.69217505626578;0.272355702666031;-0.181903787090877;0.523617943907237;-0.496491773641155;-0.543172166398314;-1.21081898743605;1.33601037889282;2.9423719474104;3.2637307607785;2.79027141623565;2.65869772720069;2.88785142548126;1.38116540397883;3.00693426111862;3.39817243781779;2.74659173028424;2.64301049803272;2.71931695487151;"Non";"Sur";"Sur"
"G122";-0.106756493460554;0.350109257514365;-0.0520221627960482;0.798794371289393;-0.322829015098081;-0.298924147851546;0.774010394435366;3.21463496051089;4.7173800334853;4.13245617284761;3.50217657138377;3.79133467367359;0.8518624915013;3.48671095148632;4.55096782665591;4.16741302513749;3.55068524672218;3.20191059642438;0.387099803407835;0.131170620387218;0.57966124726496;-0.297043243658767;-0.680081221320297;-1.27031450068661;1.05997014493393;3.3868271966149;4.35869004114032;3.58120767742014;3.13847348026275;3.39844663726959;1.25487305879136;3.39270680520998;4.61840063455842;3.80525916413896;3.02547476519389;3.06469508756269;"Non";"Sur";"Sur"
"G127";-0.1784865;-0.002692315;-0.3255491;-0.1804741;0.171401;-0.3962216;-0.4537796;-0.01588579;-1.276182;-2.27362;-1.318527;-2.600886;-0.5219337;-0.6795919;-1.871831;-2.125602;-1.343962;-1.835999;-0.3040137;-0.3551726;0.03499521;-0.8445606;-0.6872493;-0.6985614;-0.1692239;-0.4955781;-0.9829103;-2.849928;-2.487362;-3.309172;-0.3655207;-1.089491;-0.8384314;-2.579577;-1.900112;-2.399955;"Non";"Sous";"Sous"
"G130";0.1206016;-0.08838837;-0.2035029;0.5440094;-0.3581885;-0.3782734;0.4920497;2.184401;3.23517;2.734572;2.36186;2.823432;0.636673;2.388133;2.887858;2.761599;2.363589;2.360644;0.0907769;0.06168389;0.2053576;-0.06913736;-0.5110888;-0.8736472;0.8940126;2.42092;2.826454;2.602023;2.208202;2.548855;1.191763;2.464848;3.009828;2.597964;2.142794;2.317456;"Non";"Sur";"Sur"
